Date,Open,High,Low,Close,Adj Close,Volume
"Oct 12, 2016",7070.9,7079.4,7015.8,7024,7024,910363500
"Oct 11, 2016",7097.5,7129.8,7061.4,7070.9,7070.9,954215200
"Oct 10, 2016",7044.4,7104.5,7024.1,7097.5,7097.5,848672800
"Oct 07, 2016",7000,7079.3,7000,7044.4,7044.4,1359993500
"Oct 06, 2016",7033.3,7049.3,7000,7000,7000,796980200
"Oct 05, 2016",7074.3,7076.7,7024.1,7033.3,7033.3,941050600
"Oct 04, 2016",6983.5,7121.9,6983.5,7074.3,7074.3,1411305400
"Oct 03, 2016",6899.3,6996.4,6898.1,6983.5,6983.5,723046300
"Sep 30, 2016",6919.4,6919.4,6809.5,6899.3,6899.3,1148617200
"Sep 29, 2016",6849.4,6941.1,6849.4,6919.4,6919.4,833301000
"Sep 28, 2016",6807.7,6878.2,6807.7,6849.4,6849.4,735753900
"Sep 27, 2016",6818,6865.5,6768.9,6807.7,6807.7,822515600
"Sep 26, 2016",6909.4,6909.6,6806.5,6818,6818,772058900
"Sep 23, 2016",6911.4,6920.2,6882.6,6909.4,6909.4,738083700
"Sep 22, 2016",6834.8,6937.3,6834.8,6911.4,6911.4,733328200
"Sep 21, 2016",6830.8,6879.8,6830.5,6834.8,6834.8,700988900
"Sep 20, 2016",6813.6,6869.1,6798,6830.8,6830.8,695070600
"Sep 19, 2016",6710.3,6814,6710.3,6813.6,6813.6,685155700
"Sep 16, 2016",6730.3,6746.3,6692.7,6710.3,6710.3,1346126200
"Sep 15, 2016",6673.3,6736.8,6654.8,6730.3,6730.3,747305800
"Sep 14, 2016",6665.6,6720.3,6665.6,6673.3,6673.3,676448700
"Sep 13, 2016",6700.9,6724.7,6665.6,6665.6,6665.6,839927300
"Sep 12, 2016",6777,6777,6654.5,6700.9,6700.9,861327100
"Sep 09, 2016",6858.7,6862.4,6762.3,6777,6777,768674900
"Sep 08, 2016",6846.6,6889.6,6819.8,6858.7,6858.7,784127900
"Sep 07, 2016",6826.1,6856.1,6814.9,6846.6,6846.6,910691300
"Sep 06, 2016",6879.4,6887.9,6819,6826.1,6826.1,666479900
"Sep 05, 2016",6894.6,6910.7,6867.1,6879.4,6879.4,556659100
"Sep 02, 2016",6746,6928.3,6746,6894.6,6894.6,1148353400
"Sep 01, 2016",6781.5,6826.2,6723.2,6746,6746,962003800
"Aug 31, 2016",6820.8,6832.9,6779.5,6781.5,6781.5,914533800
"Aug 30, 2016",6838.1,6851.8,6808.1,6820.8,6820.8,721583800
"Aug 26, 2016",6816.9,6857.3,6798.8,6838.1,6838.1,516535900
"Aug 25, 2016",6835.8,6836.2,6779.2,6816.9,6816.9,637936600
"Aug 24, 2016",6868.5,6868.5,6825.2,6835.8,6835.8,725713700
"Aug 23, 2016",6828.5,6885.4,6828.5,6868.5,6868.5,714675900
"Aug 22, 2016",6859,6884.6,6812.1,6828.5,6828.5,598174100
"Aug 19, 2016",6869,6871.5,6840.9,6859,6859,682389000
"Aug 18, 2016",6859.2,6893.4,6850.6,6869,6869,562282600
"Aug 17, 2016",6893.9,6920.8,6849.9,6859.2,6859.2,694905300
"Aug 16, 2016",6941.2,6941.2,6893.9,6893.9,6893.9,624313400
"Aug 15, 2016",6916,6955.3,6907.2,6941.2,6941.2,534981000
"Aug 12, 2016",6914.7,6931,6896,6916,6916,666188200
"Aug 11, 2016",6866.4,6914.7,6812.7,6914.7,6914.7,735360000
"Aug 10, 2016",6851.3,6866.4,6820,6866.4,6866.4,714543400
"Aug 09, 2016",6809.1,6863.1,6807.8,6851.3,6851.3,843228100
"Aug 08, 2016",6793.5,6829.5,6781.5,6809.1,6809.1,731849100
"Aug 05, 2016",6740.2,6802.4,6738.6,6793.5,6793.5,854685300
"Aug 04, 2016",6634.4,6749.7,6615.8,6740.2,6740.2,975076700
"Aug 03, 2016",6645.4,6673.6,6621.4,6634.4,6634.4,773167000
"Aug 02, 2016",6694,6694.1,6630.8,6645.4,6645.4,797367100
"Aug 01, 2016",6724.4,6769.4,6678.5,6694,6694,705878400
"Jul 29, 2016",6721.1,6740.5,6691.1,6724.4,6724.4,896711900
"Jul 28, 2016",6750.4,6762.7,6718.9,6721.1,6721.1,1204906600
"Jul 27, 2016",6724,6780.1,6723.7,6750.4,6750.4,762916700
"Jul 26, 2016",6710.1,6744.8,6708.6,6724,6724,715629500
"Jul 25, 2016",6730.5,6756.1,6691,6710.1,6710.1,661596700
"Jul 22, 2016",6699.9,6735.9,6663.7,6730.5,6730.5,694731500
"Jul 21, 2016",6729,6732.1,6694.5,6699.9,6699.9,785375100
"Jul 20, 2016",6697.4,6736.6,6694.4,6729,6729,744699200
"Jul 19, 2016",6695.4,6711.7,6660.9,6697.4,6697.4,615693000
"Jul 18, 2016",6669.2,6715.6,6653.7,6695.4,6695.4,851731500
"Jul 15, 2016",6654.5,6669.2,6616.5,6669.2,6669.2,814067900
"Jul 14, 2016",6670.4,6743.4,6648.4,6654.5,6654.5,896411400
"Jul 13, 2016",6680.7,6717.2,6654.6,6670.4,6670.4,1028320400
"Jul 12, 2016",6682.9,6703.1,6663.7,6680.7,6680.7,1130427300
"Jul 11, 2016",6590.6,6695.1,6590.6,6682.9,6682.9,939285500
"Jul 08, 2016",6533.8,6605.8,6515.2,6590.6,6590.6,909700100
"Jul 07, 2016",6463.6,6579.3,6463.6,6533.8,6533.8,1017465800
"Jul 06, 2016",6545.4,6580.3,6432.5,6463.6,6463.6,1566032200
"Jul 05, 2016",6522.3,6561.6,6472.3,6545.4,6545.4,1142087300
"Jul 04, 2016",6577.8,6612.1,6514.8,6522.3,6522.3,748239600
"Jul 01, 2016",6504.3,6587.4,6498.6,6577.8,6577.8,1066211600
"Jun 30, 2016",6360.1,6504.3,6310,6504.3,6504.3,1515147700
"Jun 29, 2016",6140.4,6360.1,6140.4,6360.1,6360.1,1458617500
"Jun 28, 2016",5982.2,6170.3,5982.2,6140.4,6140.4,1545515100
"Jun 27, 2016",6138.7,6138.7,5958.7,5982.2,5982.2,2430429000
"Jun 24, 2016",6338.1,6338.6,5788.7,6138.7,6138.7,3761301300
"Jun 23, 2016",6261.2,6380.6,6261.2,6338.1,6338.1,887921000
"Jun 22, 2016",6226.6,6315.6,6222,6261.2,6261.2,858110900
"Jun 21, 2016",6204,6250.2,6156.2,6226.6,6226.6,816749300
"Jun 20, 2016",6021.1,6236.5,6021.1,6204,6204,979119000
"Jun 17, 2016",5950.5,6046.1,5950.5,6021.1,6021.1,1274460400
"Jun 16, 2016",5966.8,5966.8,5900,5950.5,5950.5,791476800
"Jun 15, 2016",5923.5,6007.5,5923.4,5966.8,5966.8,856010000
